,0
0,0.0
1,28774.0
2,0.0
3,18394.0
4,23960.0
5,22796.0
6,26004.0
7,34024.0
8,0.0
9,0.0
10,28203.0
11,22835.0
12,46448.0
13,47475.0
14,55704.0
15,48816.0
16,39388.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,28997.0
23,21003.0
24,7059.0
25,9972.0
26,12092.0
27,15365.0
28,22643.0
29,19404.0
30,7406.0
31,10155.0
32,11787.0
33,14318.0
34,17677.0
35,16215.0
