,0
0,87736.0
1,54207.0
2,0.0
3,1833.0
4,5893.0
5,3608.0
6,61835.0
7,54197.0
8,0.0
9,0.0
10,12068.0
11,5335.0
12,38465.0
13,44728.0
14,32464.0
15,26143.0
16,22299.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,13831.0
23,6288.0
24,465.0
25,1247.0
26,2173.0
27,4186.0
28,8349.0
29,5886.0
30,356.0
31,1201.0
32,2004.0
33,3429.0
34,4434.0
35,3764.0
